"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
92;1997-12-07 00:00:00;1;3;5;23;24;51;0;75;5530;0.00;9792.64;132.56;-;0.00;0.00;1663783.45;Sim;Não;-
93;1997-12-14 00:00:00;2;22;28;31;36;53;0;61;3795;0.00;12369.31;198.44;-;0.00;0.00;2569217.31;Sim;Não;-
94;1997-12-21 00:00:00;8;18;28;51;52;55;0;25;2086;0.00;31457.49;376.26;-;0.00;0.00;3512942.16;Sim;Não;-
95;1997-12-28 00:00:00;6;40;45;46;50;60;0;22;2185;0.00;30807.89;309.58;-;0.00;0.00;4326270.55;Sim;Não;-
96;1998-01-04 00:00:00;4;7;26;40;42;58;1;62;3984;5218562.47;11993.17;186.27;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado da Bahia.
97;1998-01-11 00:00:00;5;11;14;35;53;56;1;56;3441;727932.66;10832.33;175.94;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado de Minas Gerais.
98;1998-01-18 00:00:00;13;14;31;33;35;43;0;89;4972;0.00;6508.88;116.28;-;0.00;0.00;695149.05;Sim;Não;-
99;1998-01-25 00:00:00;11;24;30;33;46;60;0;46;3015;0.00;14037.92;213.76;-;0.00;0.00;1470041.96;Sim;Não;A MEGA EST- ACUMULADA ! ! !
100;1998-02-01 00:00:00;14;29;30;46;48;51;0;56;3600;0.00;15930.48;247.32;-;0.00;0.00;8585129.47;Sim;Não;-
101;1998-02-08 00:00:00;1;18;29;31;37;39;0;52;4653;0.00;20589.41;229.64;-;0.00;0.00;9869908.65;Sim;Não;A MEGA EST- A C U M U L A D A ! ! !
102;1998-02-15 00:00:00;19;20;37;42;44;56;1;73;6197;11336626.88;16743.36;196.85;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado de Minas Gerais.
103;1998-02-22 00:00:00;1;7;9;49;54;57;1;28;2632;696984.24;20743.58;220.24;-;0.00;0.00;0.00;Não;Não;GANHADOR DA SENA DO ESTADO DO PARAN-
104;1998-03-01 00:00:00;1;4;13;21;38;52;0;37;2588;0.00;14006.33;199.85;-;0.00;0.00;621880.72;Sim;Não;A C U M U L O U !!!
105;1998-03-08 00:00:00;3;13;31;43;46;49;0;55;4875;0.00;11824.08;133.14;-;0.00;0.00;1402269.88;Sim;Não;A MEGA-SENA EST- ACUMULADA ! ! !
106;1998-03-15 00:00:00;5;16;24;35;38;39;0;94;5390;0.00;7678.27;133.65;-;9795278.00;3000000.00;2268378.66;Sim;Não;-
107;1998-03-22 00:00:00;2;4;16;24;51;52;0;35;3554;0.00;21494.23;211.26;-;0.00;0.00;3171136.01;Sim;Não;A MEGA EST- ACUMULADA ! ! !
108;1998-03-29 00:00:00;21;24;29;34;59;60;0;35;2453;0.00;22511.72;320.57;-;0.00;0.00;4116628.49;Sim;Não;-
109;1998-04-04 00:00:00;1;13;44;48;49;54;0;39;3881;0.00;21153.30;212.15;-;0.00;0.00;11523677.38;Sim;Não;A MEGA-SENA EST- ACUMULADA ! ! !
110;1998-04-11 00:00:00;18;31;43;52;57;58;0;35;3212;0.00;27771.48;302.01;-;0.00;0.00;12690079.16;Sim;Não;-
111;1998-04-18 00:00:00;4;22;25;32;33;52;0;68;6109;0.00;18082.94;200.88;-;0.00;0.00;14165647.19;Sim;Não;-
112;1998-04-25 00:00:00;12;20;34;37;42;43;1;137;8340;15802579.93;9957.01;163.25;-;0.00;0.00;0.00;Não;Não;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
113;1998-05-02 00:00:00;7;26;28;34;54;55;0;38;2572;0.00;14269.55;210.40;-;0.00;0.00;650691.40;Sim;Não;-
114;1998-05-09 00:00:00;6;12;18;37;47;54;0;71;4908;0.00;9626.08;138.99;-;0.00;0.00;1470833.69;Sim;Não;-
115;1998-05-16 00:00:00;4;6;14;20;24;38;0;78;5091;0.00;9283.10;141.95;-;0.00;0.00;2339731.79;Sim;Não;A MEGA-SENA EST- ACUMULADA !!!
116;1998-05-23 00:00:00;5;13;32;36;42;51;0;64;5270;0.00;11956.28;144.91;-;10384878.00;4200000.00;3257973.62;Sim;Não;-
117;1998-05-30 00:00:00;20;25;27;33;42;53;0;36;3822;0.00;22046.87;207.26;-;0.00;0.00;4210398.41;Sim;Não;-
118;1998-06-06 00:00:00;9;22;25;37;56;57;0;53;4342;0.00;16052.88;195.56;-;0.00;0.00;5231361.36;Sim;Não;A MEGA-SENA EST- ACUMULADA ! ! !
119;1998-06-13 00:00:00;1;21;36;38;47;50;0;21;2691;0.00;38921.16;303.13;-;0.00;0.00;13206225.91;Sim;Não;-
120;1998-06-20 00:00:00;3;16;27;40;45;46;0;92;7073;0.00;13020.97;169.04;-;0.00;0.00;14643740.70;Sim;Não;-
121;1998-06-27 00:00:00;2;29;41;44;53;55;0;45;4554;0.00;28917.00;285.17;-;0.00;0.00;16205258.33;Sim;Não;A MEGA-SENA EST- ACUMULADA ! ! !
122;1998-07-04 00:00:00;11;17;20;39;43;53;0;83;7203;0.00;18210.45;209.43;-;0.00;0.00;18019018.95;Sim;Não;-
123;1998-07-11 00:00:00;13;14;16;26;32;42;0;176;13159;0.00;12440.56;166.06;-;0.00;0.00;20646465.28;Sim;Não;A MEGA-SENA ACUMULOU (11¬ Vez)
124;1998-07-18 00:00:00;5;15;34;41;52;57;1;188;14019;24536288.72;17242.12;230.76;-;0.00;0.00;0.00;Não;Não;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
125;1998-07-25 00:00:00;25;41;47;53;56;59;0;46;2784;0.00;15425.68;254.38;-;0.00;0.00;851497.47;Sim;Não;-
126;1998-08-01 00:00:00;6;10;11;28;32;40;0;83;5510;0.00;10052.56;151.13;-;0.00;0.00;1852731.83;Sim;Não;A MEGA-SENA EST- ACUMULADA ! ! !
127;1998-08-08 00:00:00;21;29;50;51;54;59;0;40;2613;0.00;23638.47;361.14;-;0.00;0.00;2987378.17;Sim;Não;-
128;1998-08-15 00:00:00;3;9;18;21;23;43;0;973;11715;0.00;1024.41;84.91;-;0.00;0.00;4183483.50;Sim;Não;-
129;1998-08-22 00:00:00;1;9;10;32;46;54;0;67;5320;0.00;15634.41;196.51;-;0.00;0.00;5440490.00;Sim;Não;A MEGA-SENA EST- BIG ACUMULADA ! ! !
